,Tweets
0,@varreeen kbl LAN Modem ke PC/Laptop dan Capture data my result dr https://t.co/gbesPqFKMl ke server First Media –… https://t.co/ujkDboiSWn
1,"@FirstMediaCares wifi first media wilayah vila dago tol error ya min?duh lg PJJ nih..kasian anak-anak sekolah,ditunggu fast responnya.."
2,"RT @alyycomell: bismillah first media 🤧🥺
(nanti kalau insecure datang aku delete lah👌🏻😖) https://t.co/1KWM0J83v3"
3,"RT @alyycomell: bismillah first media 🤧🥺
(nanti kalau insecure datang aku delete lah👌🏻😖) https://t.co/1KWM0J83v3"
4,@Vitrimaslow Hi First People. Terimakasih atas informasinya. Terimakasih telah berlangganan First Media dan selamat… https://t.co/yqCZAutkWT
5,"RT @alyycomell: bismillah first media 🤧🥺
(nanti kalau insecure datang aku delete lah👌🏻😖) https://t.co/1KWM0J83v3"
6,"@SalmaDindaputr5 Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
7,"@BharatKaDwaj @Mohamme86914399 @zoo_bear ya lo bro agar dar gaya ho to bata dana 

https://t.co/U7nImvT9cx"
8,"bismillah first media 🤧🥺
(nanti kalau insecure datang aku delete lah👌🏻😖) https://t.co/1KWM0J83v3"
9,"@SumitroYoel Tergantung lokasi sih, kalau di saya first media lumayan gg 📈"
10,First media hari ini lemot banget anjrot
11,"@gyulugyuluu Hi First People, baik terima kasih telah berlangganan First Media dan mhn kesediaannya menunggu teknisi kami. Tks ^nlv"
12,@taelepathiic DIEMMDNDMSKS FIRST MEDIA MASIH MATI DI RUMAH GW INDY
13,"@twistedclever  HI First People. Mohon maaf atas ketidaknyamannya. Terima kasih sdh berlangganan First Media, kami… https://t.co/bCFXnWSRsH"
14,jebal GEUMAN @ first media
15,"@mitapermtsr Hi First People, baik terima kasih telah berlangganan First Media. Mhn ditunggu konfirmasinya kembali. Tks ^nlv"
16,Big Bluefin Tuna Bonanza! https://t.co/js5XLjjuBv RT @Be_First_Media
17,"RT @qiutikatie: Bismillah, first media untuk 2021. https://t.co/S6tnif8Qil"
18,"@doaemak4  Selamat Pagi First People, mhn maaf atas ketidaknyamanan ya. Saat ini area sdg mengalami perbaikan jarin… https://t.co/vGBYwq1ow5"
19,"Daftar First Media langsung pasang, cek area, simple dan mudahh..
Hp : 085784670671( bukhory)… https://t.co/rOydam8GNV"
20,gw mau nonton ep 7 tiba2 first media mati..
21,@ibudokyeom WOI BEBTAR FIRST MEDIA GW MATI SIALAN
22,First media Di Sawojajar 2 lancar https://t.co/72PFlvt1jI
23,@duridamdam Modem ke PC/Laptop dan Capture data my result dr https://t.co/gbesPqFKMl ke server First Media dengan k… https://t.co/H4Dbw9jqG9
24,"@mirwuls Hi First People. Baik, terima kasih telah berlangganan First Media. Tks. ^ita"
25,@irzalinaaa @infomalang First media murah cuma 174k
26,"Admin @FirstMediaCares mau tanya, saya dapat email ada jadwal Pemasangan Perangkat Set Top Box HD pada layanan Firs… https://t.co/bBkYnzNTvj"
27,@tanyainrl Ada di aku 39k bahan Hyget soalnya first hand dari pabrik cek last media ya
28,@DimasNewton lalu lakukan tes speed ke situs https://t.co/gbesPqFKMl pilih server First Media kota terdekat. Lakuka… https://t.co/qYh6h4YYxx
29,"@LISNAINI18 Hi First People. Baik, mohon maaf atas kendalanya ya. Kami akan senantiasa membantu. Bisa kunjungi… https://t.co/qlkvkpQUEt"
30,"@puosesif Hi First People, baik terima kasih telah berlangganan First Media dan mohon maaf atas kendalanya. Tks ^nlv"
31,@Archiena_ Dari kemarin naik turun juga di daerahku first media 😭
32,@32kefasjose Untuk pemutusan berlangganan mohon menghubungi hotline service First Media (021) 1500 595 di jam 09.00… https://t.co/7JdEd2WSVd
33,"WIFI KU GANGGUAN DARI SUUBUUUH AAAA FIRST MEDIA KENAPA,PADAHAL JARANG BEGINI."
34,"@emerbilal . Hi First People. Terima kasih telah 
berlangganan layanan First Media dan mohon maaf 
atas ketidaknyamanan sebelumnya. Tks ^6IB"
35,"@FirstMediaCares Selamat Pagi First Media, aku mau Dm ya. saya punya pertanyaan tentang akun saya.
Makasi 🙏"
36,@FirstMediaCares Iya min saya pelangga First Media. Berikut nomor pelanggannya ya 10919711
37,"@rahmanchovy Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
38,@Dede_kusuma43 Hi First People. Terima kasih tlh berlangganan First Media. Informasi tagihan dan status jaringan si… https://t.co/u2Izo0NoHN
39,@nuruladh selamat pagi First People. Mhn maaf atas ketidaknyamanannya. Saat ini First Media hanya menyediakan paket… https://t.co/aRBcuuCf74
40,@FirstMediaCares Admin First Media yang 6IB ini sebelum masuk instansi apakah tidak ada uji atau briefing mengenai… https://t.co/g1Okbnc9Rp
41,first media pls GUE LG ACARA NATAL JGN NGADI2 DEH WIFINYA???
42,first media ngajak ribut nanti guee ada zoom bajink
43,"2015 Gak Jamannya TV pake Antena, ayoo pasang FIRST MEDIA TV KABEL KUALITAS HD - info: FirstMediaMlg https://t.co/DivHR3Yffk"
44,"@wiendja Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
45,@FirstMediaCares pagi bapak dan ibu first media cares..... Sy mau info dr bulan desember 2020 s/d hr ini internetny… https://t.co/bN59D3e2A9
46,"Hi selamat pagi first media, ini koneksi wifi saya knapa tbtb suka gabisa di gunakan ya? Tolong di benerin dong kon… https://t.co/60xEqhKsEf"
47,"@RICKYRINALDI815 .  Hi First People. Terima kasih telah 
berlangganan layanan First Media dan mohon maaf 
atas keti… https://t.co/gpT3kuLOEf"
48,@RiaSuparjo Selamat Pagi First People. Utk penonaktifan paket First Media X dan First Footballnya suda kami proses… https://t.co/eWhpSoRj5L
49,"× bxb (homophobic pls go away)
× bahasa
× sosial media au
× trigger No one under eighteen symbol⚠ akan diberikan ji… https://t.co/A3F6MMkTun"
50,"@FirstMediaCares Min mau konfirmasi dong saya sudah melakukan pemutusan mitra. Saat ditelf tiba"" mati dan ga ad kon… https://t.co/AcCwZSD91i"
51,"@penyerniyati Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
52,@IlhamSe78214348 Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidakny… https://t.co/CeapKIc7Jz
